date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:38	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:37%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_e.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_e.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:39	107/107	---M--	200	added ('OK')	image/png	etag:%22fd4f491080d29fade5080877f1ba4c8b%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_e.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_e.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:39	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:39%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_se.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_se.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:41	352/352	---M--	200	added ('OK')	image/png	etag:%22a8afd5a008884380ee712d177105268f%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_se.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_se.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:41	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:40%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_s.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_s.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:42	111/111	---M--	200	added ('OK')	image/png	etag:%229b9e5c888028aaef40fe5b6a363f1e29%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_s.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_s.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:42	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:41%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_sw.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_sw.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:43	340/340	---M--	200	added ('OK')	image/png	etag:%22f81cc0fee5581d76ad3cebe47e7e791b%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_sw.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_sw.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:43	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:43%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_w.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_w.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:44	103/103	---M--	200	added ('OK')	image/png	etag:%2259b0e63eb059e58d932cfd53da4d87e6%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_w.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_w.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:45	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2011%20Oct%202019%2007:28:44%20GMT	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_nw.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_nw.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
14:28:46	324/324	---M--	200	added ('OK')	image/png	etag:%22c820c878aedb7a7f9ebd7135a58e7c65%22	https://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_nw.png	D:/SERVER/scm/template/landing-page/Agency%20Creative%20Landing%20Page/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/ubpoverlay/ubpoverlay_shadow_nw.png	(from http://d2y5whbil7yeo8.cloudfront.net/published/jquery.ubpoverlay-93c5b32.z.css)
